fact_id,variant_id,layer,is_correct,question,correct_answer,generated_answer,n_tokens,tokens
fact_0004,original,6,False,Who was the composer of Cabaret?,John Kander,"Who was the composer of Cabaret?

Who was the composer of Cabaret?

Who was the composer of Cabaret?

Who was the composer of Cabaret?

Who was the",9,<bos> | Who | ▁was | ▁the | ▁composer | ▁of | ▁C | abaret | ?
fact_0004,original,9,False,Who was the composer of Cabaret?,John Kander,"Who was the composer of Cabaret?

Who was the composer of Cabaret?

Who was the composer of Cabaret?

Who was the composer of Cabaret?

Who was the",9,<bos> | Who | ▁was | ▁the | ▁composer | ▁of | ▁C | abaret | ?
fact_0004,original,12,False,Who was the composer of Cabaret?,John Kander,"Who was the composer of Cabaret?

Who was the composer of Cabaret?

Who was the composer of Cabaret?

Who was the composer of Cabaret?

Who was the",9,<bos> | Who | ▁was | ▁the | ▁composer | ▁of | ▁C | abaret | ?
fact_0004,short_direct,6,False,Who is the composer of Cabaret?,John Kander,"Who is the composer of Cabaret?

Who is the composer of Cabaret?

Who is the composer of Cabaret?

Who is the composer of Cabaret?

Who is the",9,<bos> | Who | ▁is | ▁the | ▁composer | ▁of | ▁C | abaret | ?
fact_0004,short_direct,9,False,Who is the composer of Cabaret?,John Kander,"Who is the composer of Cabaret?

Who is the composer of Cabaret?

Who is the composer of Cabaret?

Who is the composer of Cabaret?

Who is the",9,<bos> | Who | ▁is | ▁the | ▁composer | ▁of | ▁C | abaret | ?
fact_0004,short_direct,12,False,Who is the composer of Cabaret?,John Kander,"Who is the composer of Cabaret?

Who is the composer of Cabaret?

Who is the composer of Cabaret?

Who is the composer of Cabaret?

Who is the",9,<bos> | Who | ▁is | ▁the | ▁composer | ▁of | ▁C | abaret | ?
fact_0004,answer_briefly,6,False,Who was the composer of Cabaret? Answer briefly.,John Kander,"Who was the composer of Cabaret?

Who was the composer of Cabaret?

Who was the composer of Cabaret?

Who was the composer of Cabaret?

Who was the",12,<bos> | Who | ▁was | ▁the | ▁composer | ▁of | ▁C | abaret | ? | ▁Answer | ▁briefly | .
fact_0004,answer_briefly,9,False,Who was the composer of Cabaret? Answer briefly.,John Kander,"Who was the composer of Cabaret?

Who was the composer of Cabaret?

Who was the composer of Cabaret?

Who was the composer of Cabaret?

Who was the",12,<bos> | Who | ▁was | ▁the | ▁composer | ▁of | ▁C | abaret | ? | ▁Answer | ▁briefly | .
fact_0004,answer_briefly,12,False,Who was the composer of Cabaret? Answer briefly.,John Kander,"Who was the composer of Cabaret?

Who was the composer of Cabaret?

Who was the composer of Cabaret?

Who was the composer of Cabaret?

Who was the",12,<bos> | Who | ▁was | ▁the | ▁composer | ▁of | ▁C | abaret | ? | ▁Answer | ▁briefly | .
fact_0004,no_explanation,6,False,Who was the composer of Cabaret? Give only the answer.,John Kander,"Who was the composer of Cabaret? Give only the answer.

Who was the composer of Cabaret? Give only the answer.

Who was the composer of Cabaret? Give only the",14,<bos> | Who | ▁was | ▁the | ▁composer | ▁of | ▁C | abaret | ? | ▁Give | ▁only | ▁the | ▁answer | .
fact_0004,no_explanation,9,False,Who was the composer of Cabaret? Give only the answer.,John Kander,"Who was the composer of Cabaret? Give only the answer.

Who was the composer of Cabaret? Give only the answer.

Who was the composer of Cabaret? Give only the",14,<bos> | Who | ▁was | ▁the | ▁composer | ▁of | ▁C | abaret | ? | ▁Give | ▁only | ▁the | ▁answer | .
