fact_id,variant_id,is_correct,correct_answer,question,n_tokens,tokens,token_ids,generated_answer
fact_0002,original,True,Warren Beatty,Who was the producer of Reds?,7,Who | ▁was | ▁the | ▁producer | ▁of | ▁Reds | ?,2 6571 729 573 21709 576 83750 235336,"The producer of the 1981 film ""Reds"" was **Warren Beatty**."
fact_0002,short_direct,True,Warren Beatty,Who is the producer of Reds?,7,Who | ▁is | ▁the | ▁producer | ▁of | ▁Reds | ?,2 6571 603 573 21709 576 83750 235336,"The producer of the film ""Reds"" is **Warren Beatty**. 

He also starred in the film, directed it, and wrote the screenplay."
fact_0002,answer_briefly,True,Warren Beatty,Who was the producer of Reds? Answer briefly.,10,Who | ▁was | ▁the | ▁producer | ▁of | ▁Reds | ? | ▁Answer | ▁briefly | .,2 6571 729 573 21709 576 83750 235336 10358 27918 235265,"**Answer:**  
Warren Beatty"
fact_0002,no_explanation,False,Warren Beatty,Who was the producer of Reds? Give only the answer.,12,Who | ▁was | ▁the | ▁producer | ▁of | ▁Reds | ? | ▁Give | ▁only | ▁the | ▁answer | .,2 6571 729 573 21709 576 83750 235336 18712 1297 573 3448 235265,Oliver Stone
fact_0002,direct_answer,True,Warren Beatty,Directly answer this factual question: Who was the producer of Reds?,14,Direct | ly | ▁answer | ▁this | ▁factual | ▁question | : | ▁Who | ▁was | ▁the | ▁producer | ▁of | ▁Reds | ?,2 12959 605 3448 736 63914 2872 235292 7702 729 573 21709 576 83750 235336,"**Answer:**  
Warren Beatty"
fact_0014,original,False,Ennio Morricone,Who was the composer of The Mission?,8,Who | ▁was | ▁the | ▁composer | ▁of | ▁The | ▁Mission | ?,2 6571 729 573 41905 576 714 18883 235336,The Mission was composed by **James Horner**.
fact_0014,short_direct,True,Ennio Morricone,Who is the composer of The Mission?,8,Who | ▁is | ▁the | ▁composer | ▁of | ▁The | ▁Mission | ?,2 6571 603 573 41905 576 714 18883 235336,The Mission was composed by **Ennio Morricone**.
fact_0014,answer_briefly,True,Ennio Morricone,Who was the composer of The Mission? Answer briefly.,11,Who | ▁was | ▁the | ▁composer | ▁of | ▁The | ▁Mission | ? | ▁Answer | ▁briefly | .,2 6571 729 573 41905 576 714 18883 235336 10358 27918 235265,**Answer:**  Ennio Morricone
fact_0014,no_explanation,False,Ennio Morricone,Who was the composer of The Mission? Give only the answer.,13,Who | ▁was | ▁the | ▁composer | ▁of | ▁The | ▁Mission | ? | ▁Give | ▁only | ▁the | ▁answer | .,2 6571 729 573 41905 576 714 18883 235336 18712 1297 573 3448 235265,Vangelis
fact_0014,direct_answer,True,Ennio Morricone,Directly answer this factual question: Who was the composer of The Mission?,15,Direct | ly | ▁answer | ▁this | ▁factual | ▁question | : | ▁Who | ▁was | ▁the | ▁composer | ▁of | ▁The | ▁Mission | ?,2 12959 605 3448 736 63914 2872 235292 7702 729 573 41905 576 714 18883 235336,The composer of The Mission is **Ennio Morricone**.
