fact_id,variant_id,layer,is_correct,question,correct_answer,generated_answer,n_tokens,tokens
fact_0002,original,6,True,Who was the producer of Reds?,Warren Beatty,"The producer of the 1981 film ""Reds"" was **Warren Beatty**.",8,<bos> | Who | ▁was | ▁the | ▁producer | ▁of | ▁Reds | ?
fact_0002,original,9,True,Who was the producer of Reds?,Warren Beatty,"The producer of the 1981 film ""Reds"" was **Warren Beatty**.",8,<bos> | Who | ▁was | ▁the | ▁producer | ▁of | ▁Reds | ?
fact_0002,original,12,True,Who was the producer of Reds?,Warren Beatty,"The producer of the 1981 film ""Reds"" was **Warren Beatty**.",8,<bos> | Who | ▁was | ▁the | ▁producer | ▁of | ▁Reds | ?
fact_0002,short_direct,6,True,Who is the producer of Reds?,Warren Beatty,"The producer of the film ""Reds"" is **Warren Beatty**. 

He also starred in the film, directed it, and wrote the screenplay.",8,<bos> | Who | ▁is | ▁the | ▁producer | ▁of | ▁Reds | ?
fact_0002,short_direct,9,True,Who is the producer of Reds?,Warren Beatty,"The producer of the film ""Reds"" is **Warren Beatty**. 

He also starred in the film, directed it, and wrote the screenplay.",8,<bos> | Who | ▁is | ▁the | ▁producer | ▁of | ▁Reds | ?
fact_0002,short_direct,12,True,Who is the producer of Reds?,Warren Beatty,"The producer of the film ""Reds"" is **Warren Beatty**. 

He also starred in the film, directed it, and wrote the screenplay.",8,<bos> | Who | ▁is | ▁the | ▁producer | ▁of | ▁Reds | ?
fact_0002,answer_briefly,6,True,Who was the producer of Reds? Answer briefly.,Warren Beatty,"**Answer:**  
Warren Beatty",11,<bos> | Who | ▁was | ▁the | ▁producer | ▁of | ▁Reds | ? | ▁Answer | ▁briefly | .
fact_0002,answer_briefly,9,True,Who was the producer of Reds? Answer briefly.,Warren Beatty,"**Answer:**  
Warren Beatty",11,<bos> | Who | ▁was | ▁the | ▁producer | ▁of | ▁Reds | ? | ▁Answer | ▁briefly | .
fact_0002,answer_briefly,12,True,Who was the producer of Reds? Answer briefly.,Warren Beatty,"**Answer:**  
Warren Beatty",11,<bos> | Who | ▁was | ▁the | ▁producer | ▁of | ▁Reds | ? | ▁Answer | ▁briefly | .
fact_0002,no_explanation,6,False,Who was the producer of Reds? Give only the answer.,Warren Beatty,Oliver Stone,13,<bos> | Who | ▁was | ▁the | ▁producer | ▁of | ▁Reds | ? | ▁Give | ▁only | ▁the | ▁answer | .
fact_0002,no_explanation,9,False,Who was the producer of Reds? Give only the answer.,Warren Beatty,Oliver Stone,13,<bos> | Who | ▁was | ▁the | ▁producer | ▁of | ▁Reds | ? | ▁Give | ▁only | ▁the | ▁answer | .
fact_0002,no_explanation,12,False,Who was the producer of Reds? Give only the answer.,Warren Beatty,Oliver Stone,13,<bos> | Who | ▁was | ▁the | ▁producer | ▁of | ▁Reds | ? | ▁Give | ▁only | ▁the | ▁answer | .
fact_0002,direct_answer,6,True,Directly answer this factual question: Who was the producer of Reds?,Warren Beatty,"**Answer:**  
Warren Beatty",15,<bos> | Direct | ly | ▁answer | ▁this | ▁factual | ▁question | : | ▁Who | ▁was | ▁the | ▁producer | ▁of | ▁Reds | ?
fact_0002,direct_answer,9,True,Directly answer this factual question: Who was the producer of Reds?,Warren Beatty,"**Answer:**  
Warren Beatty",15,<bos> | Direct | ly | ▁answer | ▁this | ▁factual | ▁question | : | ▁Who | ▁was | ▁the | ▁producer | ▁of | ▁Reds | ?
fact_0002,direct_answer,12,True,Directly answer this factual question: Who was the producer of Reds?,Warren Beatty,"**Answer:**  
Warren Beatty",15,<bos> | Direct | ly | ▁answer | ▁this | ▁factual | ▁question | : | ▁Who | ▁was | ▁the | ▁producer | ▁of | ▁Reds | ?
fact_0014,original,6,False,Who was the composer of The Mission?,Ennio Morricone,The Mission was composed by **James Horner**.,9,<bos> | Who | ▁was | ▁the | ▁composer | ▁of | ▁The | ▁Mission | ?
fact_0014,original,9,False,Who was the composer of The Mission?,Ennio Morricone,The Mission was composed by **James Horner**.,9,<bos> | Who | ▁was | ▁the | ▁composer | ▁of | ▁The | ▁Mission | ?
fact_0014,original,12,False,Who was the composer of The Mission?,Ennio Morricone,The Mission was composed by **James Horner**.,9,<bos> | Who | ▁was | ▁the | ▁composer | ▁of | ▁The | ▁Mission | ?
fact_0014,short_direct,6,True,Who is the composer of The Mission?,Ennio Morricone,The Mission was composed by **Ennio Morricone**.,9,<bos> | Who | ▁is | ▁the | ▁composer | ▁of | ▁The | ▁Mission | ?
fact_0014,short_direct,9,True,Who is the composer of The Mission?,Ennio Morricone,The Mission was composed by **Ennio Morricone**.,9,<bos> | Who | ▁is | ▁the | ▁composer | ▁of | ▁The | ▁Mission | ?
fact_0014,short_direct,12,True,Who is the composer of The Mission?,Ennio Morricone,The Mission was composed by **Ennio Morricone**.,9,<bos> | Who | ▁is | ▁the | ▁composer | ▁of | ▁The | ▁Mission | ?
