fact_id,variant_id,is_correct,correct_answer,question,n_tokens,tokens,token_ids,generated_answer
fact_0004,original,False,John Kander,Who was the composer of Cabaret?,8,Who | ▁was | ▁the | ▁composer | ▁of | ▁C | abaret | ?,2 6571 729 573 41905 576 585 152763 235336,"Who was the composer of Cabaret?

Who was the composer of Cabaret?

Who was the composer of Cabaret?

Who was the composer of Cabaret?

Who was the"
fact_0004,short_direct,False,John Kander,Who is the composer of Cabaret?,8,Who | ▁is | ▁the | ▁composer | ▁of | ▁C | abaret | ?,2 6571 603 573 41905 576 585 152763 235336,"Who is the composer of Cabaret?

Who is the composer of Cabaret?

Who is the composer of Cabaret?

Who is the composer of Cabaret?

Who is the"
fact_0004,answer_briefly,False,John Kander,Who was the composer of Cabaret? Answer briefly.,11,Who | ▁was | ▁the | ▁composer | ▁of | ▁C | abaret | ? | ▁Answer | ▁briefly | .,2 6571 729 573 41905 576 585 152763 235336 10358 27918 235265,"Who was the composer of Cabaret?

Who was the composer of Cabaret?

Who was the composer of Cabaret?

Who was the composer of Cabaret?

Who was the"
fact_0004,no_explanation,False,John Kander,Who was the composer of Cabaret? Give only the answer.,13,Who | ▁was | ▁the | ▁composer | ▁of | ▁C | abaret | ? | ▁Give | ▁only | ▁the | ▁answer | .,2 6571 729 573 41905 576 585 152763 235336 18712 1297 573 3448 235265,"Who was the composer of Cabaret? Give only the answer.

Who was the composer of Cabaret? Give only the answer.

Who was the composer of Cabaret? Give only the"
fact_0004,direct_answer,True,John Kander,Directly answer this factual question: Who was the composer of Cabaret?,15,Direct | ly | ▁answer | ▁this | ▁factual | ▁question | : | ▁Who | ▁was | ▁the | ▁composer | ▁of | ▁C | abaret | ?,2 12959 605 3448 736 63914 2872 235292 7702 729 573 41905 576 585 152763 235336,"The answer is: <strong>Kander and Ebb.</strong>

The musical Cabaret is a musical that was written by John Kander and Fred Ebb. The musical was first performed in"
fact_0007,original,False,Nuri Bilge Ceylan,Who was the screenwriter for Uzak?,8,Who | ▁was | ▁the | ▁screenwriter | ▁for | ▁U | zak | ?,2 6571 729 573 191114 604 752 33033 235336,"Who was the screenwriter for Uzak?

Who was the screenwriter for Uzak?

Who was the screenwriter for Uzak?

Who was the screenwriter for Uzak?

Who was the"
fact_0007,short_direct,True,Nuri Bilge Ceylan,Who is the screenwriter for Uzak?,8,Who | ▁is | ▁the | ▁screenwriter | ▁for | ▁U | zak | ?,2 6571 603 573 191114 604 752 33033 235336,Uzak is a 2018 Turkish drama film directed by Nuri Bilge Ceylan. The film is based on the novel of the same name by Orhan Pamuk. The
fact_0007,answer_briefly,False,Nuri Bilge Ceylan,Who was the screenwriter for Uzak? Answer briefly.,11,Who | ▁was | ▁the | ▁screenwriter | ▁for | ▁U | zak | ? | ▁Answer | ▁briefly | .,2 6571 729 573 191114 604 752 33033 235336 10358 27918 235265,"Who was the screenwriter for Uzak?

Answer briefly.

Who was the screenwriter for Uzak?

Answer briefly.

Who was the screenwriter for Uzak?

Answer briefly."
fact_0007,no_explanation,False,Nuri Bilge Ceylan,Who was the screenwriter for Uzak? Give only the answer.,13,Who | ▁was | ▁the | ▁screenwriter | ▁for | ▁U | zak | ? | ▁Give | ▁only | ▁the | ▁answer | .,2 6571 729 573 191114 604 752 33033 235336 18712 1297 573 3448 235265,"Who was the screenwriter for Uzak? Give only the answer.

Who was the screenwriter for Uzak? Give only the answer.

Who was the screenwriter for Uzak? Give only the"
fact_0007,direct_answer,True,Nuri Bilge Ceylan,Directly answer this factual question: Who was the screenwriter for Uzak?,15,Direct | ly | ▁answer | ▁this | ▁factual | ▁question | : | ▁Who | ▁was | ▁the | ▁screenwriter | ▁for | ▁U | zak | ?,2 12959 605 3448 736 63914 2872 235292 7702 729 573 191114 604 752 33033 235336,"The answer is: <strong>Nuri Bilge Ceylan</strong>.

Nuri Bilge Ceylan is a Turkish director, screenwriter, and producer. He is best known for his films U"
fact_0008,original,True,Alexander Payne,Who was the producer of The Descendants?,9,Who | ▁was | ▁the | ▁producer | ▁of | ▁The | ▁Desc | endants | ?,2 6571 729 573 21709 576 714 57084 26323 235336,"The Descendants is a 2011 American drama film directed by Alexander Payne and written by Payne and Nat Faxon and Jim Rash. It stars George Clooney, Shailene Woodley,"
fact_0008,short_direct,True,Alexander Payne,Who is the producer of The Descendants?,9,Who | ▁is | ▁the | ▁producer | ▁of | ▁The | ▁Desc | endants | ?,2 6571 603 573 21709 576 714 57084 26323 235336,"The Descendants is a 2011 American drama film directed by Alexander Payne and written by Payne and Nat Faxon and Jim Rash. It stars George Clooney, Shailene Woodley,"
fact_0008,answer_briefly,True,Alexander Payne,Who was the producer of The Descendants? Answer briefly.,12,Who | ▁was | ▁the | ▁producer | ▁of | ▁The | ▁Desc | endants | ? | ▁Answer | ▁briefly | .,2 6571 729 573 21709 576 714 57084 26323 235336 10358 27918 235265,"Who was the producer of The Descendants?

The Descendants is a 2011 American drama film directed by Alexander Payne and written by Payne and Nat Faxon and Jim Rash."
fact_0008,no_explanation,False,Alexander Payne,Who was the producer of The Descendants? Give only the answer.,14,Who | ▁was | ▁the | ▁producer | ▁of | ▁The | ▁Desc | endants | ? | ▁Give | ▁only | ▁the | ▁answer | .,2 6571 729 573 21709 576 714 57084 26323 235336 18712 1297 573 3448 235265,"Who was the producer of The Descendants? Give only the answer.

Who was the producer of The Descendants? Give only the answer.

Who was the producer of The Descendants?"
fact_0008,direct_answer,True,Alexander Payne,Directly answer this factual question: Who was the producer of The Descendants?,16,Direct | ly | ▁answer | ▁this | ▁factual | ▁question | : | ▁Who | ▁was | ▁the | ▁producer | ▁of | ▁The | ▁Desc | endants | ?,2 12959 605 3448 736 63914 2872 235292 7702 729 573 21709 576 714 57084 26323 235336,"The Descendants is a 2011 American drama film directed by Alexander Payne and written by Payne and Nat Faxon and Jim Rash. The film stars George Clooney, Shailene Woodley"
fact_0013,original,False,Oliver Stone,Who was the director of The Doors?,8,Who | ▁was | ▁the | ▁director | ▁of | ▁The | ▁Doors | ?,2 6571 729 573 8453 576 714 56180 235336,"Who was the director of The Doors?

Who was the director of The Doors?

Who was the director of The Doors?

Who was the director of The Doors?

Who was the"
fact_0013,short_direct,True,Oliver Stone,Who is the director of The Doors?,8,Who | ▁is | ▁the | ▁director | ▁of | ▁The | ▁Doors | ?,2 6571 603 573 8453 576 714 56180 235336,"The Doors was directed by Oliver Stone.

Who is the director of The Doors?

Oliver Stone

Who is the director of The Doors?

Oliver Stone

Who is the director of The"
fact_0013,answer_briefly,False,Oliver Stone,Who was the director of The Doors? Answer briefly.,11,Who | ▁was | ▁the | ▁director | ▁of | ▁The | ▁Doors | ? | ▁Answer | ▁briefly | .,2 6571 729 573 8453 576 714 56180 235336 10358 27918 235265,"Who was the director of The Doors?

Who was the director of The Doors?

Who was the director of The Doors?

Who was the director of The Doors?

Who was the"
fact_0013,no_explanation,False,Oliver Stone,Who was the director of The Doors? Give only the answer.,13,Who | ▁was | ▁the | ▁director | ▁of | ▁The | ▁Doors | ? | ▁Give | ▁only | ▁the | ▁answer | .,2 6571 729 573 8453 576 714 56180 235336 18712 1297 573 3448 235265,"Who was the director of The Doors? Give only the answer.

Who was the director of The Doors? Give only the answer.

Who was the director of The Doors? Give only the"
fact_0013,direct_answer,True,Oliver Stone,Directly answer this factual question: Who was the director of The Doors?,15,Direct | ly | ▁answer | ▁this | ▁factual | ▁question | : | ▁Who | ▁was | ▁the | ▁director | ▁of | ▁The | ▁Doors | ?,2 12959 605 3448 736 63914 2872 235292 7702 729 573 8453 576 714 56180 235336,"The answer is Oliver Stone.

The Doors was a 1991 biopic about the band The Doors. The film was directed by Oliver Stone and starred Val Kilmer as Jim Morrison"
fact_0015,original,False,Robert Altman,Who was the director of Nashville?,7,Who | ▁was | ▁the | ▁director | ▁of | ▁Nashville | ?,2 6571 729 573 8453 576 47882 235336,"Who was the director of Nashville?

Who was the director of Nashville?

Who was the director of Nashville?

Who was the director of Nashville?

Who was the director of Nashville?"
fact_0015,short_direct,False,Robert Altman,Who is the director of Nashville?,7,Who | ▁is | ▁the | ▁director | ▁of | ▁Nashville | ?,2 6571 603 573 8453 576 47882 235336,"Who is the director of Nashville?

Who is the director of Nashville?

Who is the director of Nashville?

Who is the director of Nashville?

Who is the director of Nashville?"
fact_0015,answer_briefly,False,Robert Altman,Who was the director of Nashville? Answer briefly.,10,Who | ▁was | ▁the | ▁director | ▁of | ▁Nashville | ? | ▁Answer | ▁briefly | .,2 6571 729 573 8453 576 47882 235336 10358 27918 235265,"Who was the director of Nashville?

Who was the director of Nashville?

Who was the director of Nashville?

Who was the director of Nashville?

Who was the director of Nashville?"
fact_0015,no_explanation,False,Robert Altman,Who was the director of Nashville? Give only the answer.,12,Who | ▁was | ▁the | ▁director | ▁of | ▁Nashville | ? | ▁Give | ▁only | ▁the | ▁answer | .,2 6571 729 573 8453 576 47882 235336 18712 1297 573 3448 235265,"Who was the director of Nashville? Give only the answer.

Who was the director of Nashville? Give only the answer.

Who was the director of Nashville? Give only the answer."
fact_0015,direct_answer,True,Robert Altman,Directly answer this factual question: Who was the director of Nashville?,14,Direct | ly | ▁answer | ▁this | ▁factual | ▁question | : | ▁Who | ▁was | ▁the | ▁director | ▁of | ▁Nashville | ?,2 12959 605 3448 736 63914 2872 235292 7702 729 573 8453 576 47882 235336,"The answer is: <strong>Robert Altman.</strong>

Robert Altman is an American director, screenwriter, producer and actor. He is known for his unique style of directing and his ability to create complex"
fact_0016,original,False,Henrik Ibsen,Who is the author of The Wild Duck?,9,Who | ▁is | ▁the | ▁author | ▁of | ▁The | ▁Wild | ▁Duck | ?,2 6571 603 573 3426 576 714 11976 34851 235336,"Who is the author of The Wild Duck?

Who is the author of The Wild Duck?

Who is the author of The Wild Duck?

Who is the author of The Wild Duck?"
fact_0016,answer_briefly,False,Henrik Ibsen,Who is the author of The Wild Duck? Answer briefly.,12,Who | ▁is | ▁the | ▁author | ▁of | ▁The | ▁Wild | ▁Duck | ? | ▁Answer | ▁briefly | .,2 6571 603 573 3426 576 714 11976 34851 235336 10358 27918 235265,"Who is the author of The Wild Duck? Answer briefly.

Who is the author of The Wild Duck? Answer briefly.

Who is the author of The Wild Duck? Answer briefly."
fact_0016,no_explanation,False,Henrik Ibsen,Who is the author of The Wild Duck? Give only the answer.,14,Who | ▁is | ▁the | ▁author | ▁of | ▁The | ▁Wild | ▁Duck | ? | ▁Give | ▁only | ▁the | ▁answer | .,2 6571 603 573 3426 576 714 11976 34851 235336 18712 1297 573 3448 235265,"Who is the author of The Wild Duck? Give only the answer.

Who is the author of The Wild Duck? Give only the answer.

Who is the author of The Wild Duck?"
