fact_id,variant_id,question,original_question,correct_answer,possible_answers,type,generated_answer,full_output,is_correct,failure_type
fact_0000,answer_briefly,Who is the father of Zhengde Emperor? Answer briefly.,Who is the father of Zhengde Emperor?,Hongzhi Emperor,"[""Hongzhi Emperor"", ""Zhu Youcheng"", ""Datianmingdaochunchengzhongzhengshengwenshenwuzhirendadejinghuangdi"", ""Hongzhi"", ""Zhu Youtang"", ""Xiao Zong"", ""Jing Di""]",father,"Who is the father of Zhengde Emperor?

The father of Zhengde Emperor is Zhengde Emperor Zhu Houzhao.

The father of Zhengde Emperor is Zhu Houzhao, the","Who is the father of Zhengde Emperor? Answer briefly.

Who is the father of Zhengde Emperor?

The father of Zhengde Emperor is Zhengde Emperor Zhu Houzhao.

The father of Zhengde Emperor is Zhu Houzhao, the",False,other_wrong_or_offtopic
fact_0000,no_explanation,Who is the father of Zhengde Emperor? Give only the answer.,Who is the father of Zhengde Emperor?,Hongzhi Emperor,"[""Hongzhi Emperor"", ""Zhu Youcheng"", ""Datianmingdaochunchengzhongzhengshengwenshenwuzhirendadejinghuangdi"", ""Hongzhi"", ""Zhu Youtang"", ""Xiao Zong"", ""Jing Di""]",father,"The answer is: <strong>Zhu Changxun.</strong>

Zhengde Emperor was the third son of the Ming Dynasty Emperor Zhu Di, and his father was Zhu Changxun. Zhu Changxun was","Who is the father of Zhengde Emperor? Give only the answer.

The answer is: <strong>Zhu Changxun.</strong>

Zhengde Emperor was the third son of the Ming Dynasty Emperor Zhu Di, and his father was Zhu Changxun. Zhu Changxun was",False,other_wrong_or_offtopic
fact_0000,direct_answer,Directly answer this factual question: Who is the father of Zhengde Emperor?,Who is the father of Zhengde Emperor?,Hongzhi Emperor,"[""Hongzhi Emperor"", ""Zhu Youcheng"", ""Datianmingdaochunchengzhongzhengshengwenshenwuzhirendadejinghuangdi"", ""Hongzhi"", ""Zhu Youtang"", ""Xiao Zong"", ""Jing Di""]",father,"The answer is: <strong>Zhu Changxun</strong>

Zhu Changxun was the son of Zhu Houzhao, the third son of the Ming Dynasty. He was born in 150","Directly answer this factual question: Who is the father of Zhengde Emperor?

The answer is: <strong>Zhu Changxun</strong>

Zhu Changxun was the son of Zhu Houzhao, the third son of the Ming Dynasty. He was born in 150",False,other_wrong_or_offtopic
fact_0001,direct_answer,Directly answer this factual question: Who was the composer of Samson?,Who was the composer of Samson?,George Frideric Handel,"[""George Frideric Handel"", ""Handel"", ""G. F. Handel"", ""Georg Friedrich Händel"", ""George Frederick Handel"", ""G. F. Händel"", ""Händel"", ""George Frideric""]",composer,"The answer is: <strong>Joseph Haydn.</strong>

Joseph Haydn is a famous composer and musician who was born in 1732 in Austria. He is known for his work in the","Directly answer this factual question: Who was the composer of Samson?

The answer is: <strong>Joseph Haydn.</strong>

Joseph Haydn is a famous composer and musician who was born in 1732 in Austria. He is known for his work in the",False,other_wrong_or_offtopic
fact_0002,original,Who was the producer of Reds?,Who was the producer of Reds?,Warren Beatty,"[""Warren Beatty"", ""Henry Warren Beaty"", ""Henry Warren Beatty""]",producer,"Who was the director of Reds?

Who was the writer of Reds?

Who was the cinematographer of Reds?

Who was the editor of Reds?

Who was the composer of Reds","Who was the producer of Reds?

Who was the director of Reds?

Who was the writer of Reds?

Who was the cinematographer of Reds?

Who was the editor of Reds?

Who was the composer of Reds",False,other_wrong_or_offtopic
fact_0002,direct_answer,Directly answer this factual question: Who was the producer of Reds?,Who was the producer of Reds?,Warren Beatty,"[""Warren Beatty"", ""Henry Warren Beaty"", ""Henry Warren Beatty""]",producer,"The answer is: <strong>Howard Koch.</strong>

Howard Koch was an American screenwriter and producer who was born in 1900 and died in 1971. He is","Directly answer this factual question: Who was the producer of Reds?

The answer is: <strong>Howard Koch.</strong>

Howard Koch was an American screenwriter and producer who was born in 1900 and died in 1971. He is",False,other_wrong_or_offtopic
fact_0003,short_direct,Who is the producer of Mission Kashmir?,Who was the producer of Mission Kashmir?,Vidhu Vinod Chopra,"[""Vidhu Vinod Chopra""]",producer,"Who is the director of Mission Kashmir?

Who is the writer of Mission Kashmir?

Who is the music director of Mission Kashmir?

Who is the cinematographer of Mission Kashmir?

Who","Who is the producer of Mission Kashmir?

Who is the director of Mission Kashmir?

Who is the writer of Mission Kashmir?

Who is the music director of Mission Kashmir?

Who is the cinematographer of Mission Kashmir?

Who",False,other_wrong_or_offtopic
fact_0003,answer_briefly,Who was the producer of Mission Kashmir? Answer briefly.,Who was the producer of Mission Kashmir?,Vidhu Vinod Chopra,"[""Vidhu Vinod Chopra""]",producer,"<strong>Answer:</strong>

The producer of Mission Kashmir was the famous director of Bollywood, Subhash Ghai. He was the first director to make a film on the Kashmir issue. The film was","Who was the producer of Mission Kashmir? Answer briefly.

<strong>Answer:</strong>

The producer of Mission Kashmir was the famous director of Bollywood, Subhash Ghai. He was the first director to make a film on the Kashmir issue. The film was",False,other_wrong_or_offtopic
fact_0003,direct_answer,Directly answer this factual question: Who was the producer of Mission Kashmir?,Who was the producer of Mission Kashmir?,Vidhu Vinod Chopra,"[""Vidhu Vinod Chopra""]",producer,"The answer is: <strong>Shashi Kapoor</strong>

Shashi Kapoor was a well-known Indian actor, producer, and director. He was born on 19 October 193","Directly answer this factual question: Who was the producer of Mission Kashmir?

The answer is: <strong>Shashi Kapoor</strong>

Shashi Kapoor was a well-known Indian actor, producer, and director. He was born on 19 October 193",False,other_wrong_or_offtopic
fact_0004,direct_answer,Directly answer this factual question: Who was the composer of Cabaret?,Who was the composer of Cabaret?,John Kander,"[""John Kander"", ""John Harold Kander""]",composer,"The answer is: <strong>Kander and Ebb.</strong>

The musical Cabaret is a musical that was written by John Kander and Fred Ebb. The musical was first performed in","Directly answer this factual question: Who was the composer of Cabaret?

The answer is: <strong>Kander and Ebb.</strong>

The musical Cabaret is a musical that was written by John Kander and Fred Ebb. The musical was first performed in",True,contains_correct_answer
fact_0006,direct_answer,Directly answer this factual question: Who was the composer of Introduction and Allegro?,Who was the composer of Introduction and Allegro?,Maurice Ravel,"[""Maurice Ravel"", ""Joseph-Maurice Ravel"", ""Maurice Joseph Ravel""]",composer,"The following sentence may contain errors in the use of verbs. Cross out each incorrect verb form, and write the correct form above it. If the sentence is already correct, write <em>C</em>","Directly answer this factual question: Who was the composer of Introduction and Allegro?

The following sentence may contain errors in the use of verbs. Cross out each incorrect verb form, and write the correct form above it. If the sentence is already correct, write <em>C</em>",False,other_wrong_or_offtopic
fact_0007,short_direct,Who is the screenwriter for Uzak?,Who was the screenwriter for Uzak?,Nuri Bilge Ceylan,"[""Nuri Bilge Ceylan""]",screenwriter,Uzak is a 2018 Turkish drama film directed by Nuri Bilge Ceylan. The film is based on the novel of the same name by Orhan Pamuk. The,"Who is the screenwriter for Uzak?

Uzak is a 2018 Turkish drama film directed by Nuri Bilge Ceylan. The film is based on the novel of the same name by Orhan Pamuk. The",True,contains_correct_answer
fact_0007,direct_answer,Directly answer this factual question: Who was the screenwriter for Uzak?,Who was the screenwriter for Uzak?,Nuri Bilge Ceylan,"[""Nuri Bilge Ceylan""]",screenwriter,"The answer is: <strong>Nuri Bilge Ceylan</strong>.

Nuri Bilge Ceylan is a Turkish director, screenwriter, and producer. He is best known for his films U","Directly answer this factual question: Who was the screenwriter for Uzak?

The answer is: <strong>Nuri Bilge Ceylan</strong>.

Nuri Bilge Ceylan is a Turkish director, screenwriter, and producer. He is best known for his films U",True,contains_correct_answer
fact_0008,original,Who was the producer of The Descendants?,Who was the producer of The Descendants?,Alexander Payne,"[""Alexander Payne""]",producer,"The Descendants is a 2011 American drama film directed by Alexander Payne and written by Payne and Nat Faxon and Jim Rash. It stars George Clooney, Shailene Woodley,","Who was the producer of The Descendants?

The Descendants is a 2011 American drama film directed by Alexander Payne and written by Payne and Nat Faxon and Jim Rash. It stars George Clooney, Shailene Woodley,",True,contains_correct_answer
fact_0008,short_direct,Who is the producer of The Descendants?,Who was the producer of The Descendants?,Alexander Payne,"[""Alexander Payne""]",producer,"The Descendants is a 2011 American drama film directed by Alexander Payne and written by Payne and Nat Faxon and Jim Rash. It stars George Clooney, Shailene Woodley,","Who is the producer of The Descendants?

The Descendants is a 2011 American drama film directed by Alexander Payne and written by Payne and Nat Faxon and Jim Rash. It stars George Clooney, Shailene Woodley,",True,contains_correct_answer
fact_0008,answer_briefly,Who was the producer of The Descendants? Answer briefly.,Who was the producer of The Descendants?,Alexander Payne,"[""Alexander Payne""]",producer,"Who was the producer of The Descendants?

The Descendants is a 2011 American drama film directed by Alexander Payne and written by Payne and Nat Faxon and Jim Rash.","Who was the producer of The Descendants? Answer briefly.

Who was the producer of The Descendants?

The Descendants is a 2011 American drama film directed by Alexander Payne and written by Payne and Nat Faxon and Jim Rash.",True,contains_correct_answer
