fact_id,variant_id,layer,is_correct,question,correct_answer,generated_answer,n_tokens,tokens
fact_0024,original,6,True,Who is the father of Kim Kardashian?,Robert Kardashian,"Kim Kardashian is the daughter of Robert Kardashian and Kris Jenner.

Who is the mother of Kim Kardashian?

Kim Kardashian is the daughter of Robert Kardashian and Kris Jenner.

Who is the father",9,<bos> | Who | ▁is | ▁the | ▁father | ▁of | ▁Kim | ▁Kardashian | ?
fact_0024,original,9,True,Who is the father of Kim Kardashian?,Robert Kardashian,"Kim Kardashian is the daughter of Robert Kardashian and Kris Jenner.

Who is the mother of Kim Kardashian?

Kim Kardashian is the daughter of Robert Kardashian and Kris Jenner.

Who is the father",9,<bos> | Who | ▁is | ▁the | ▁father | ▁of | ▁Kim | ▁Kardashian | ?
fact_0024,original,12,True,Who is the father of Kim Kardashian?,Robert Kardashian,"Kim Kardashian is the daughter of Robert Kardashian and Kris Jenner.

Who is the mother of Kim Kardashian?

Kim Kardashian is the daughter of Robert Kardashian and Kris Jenner.

Who is the father",9,<bos> | Who | ▁is | ▁the | ▁father | ▁of | ▁Kim | ▁Kardashian | ?
fact_0024,direct_answer,6,False,Directly answer this factual question: Who is the father of Kim Kardashian?,Robert Kardashian,"The answer is Kanye West.

But the question is a bit more complicated than that.

Kim Kardashian and Kanye West have been married for six years.

They have four children together.",16,<bos> | Direct | ly | ▁answer | ▁this | ▁factual | ▁question | : | ▁Who | ▁is | ▁the | ▁father | ▁of | ▁Kim | ▁Kardashian | ?
fact_0024,direct_answer,9,False,Directly answer this factual question: Who is the father of Kim Kardashian?,Robert Kardashian,"The answer is Kanye West.

But the question is a bit more complicated than that.

Kim Kardashian and Kanye West have been married for six years.

They have four children together.",16,<bos> | Direct | ly | ▁answer | ▁this | ▁factual | ▁question | : | ▁Who | ▁is | ▁the | ▁father | ▁of | ▁Kim | ▁Kardashian | ?
fact_0024,direct_answer,12,False,Directly answer this factual question: Who is the father of Kim Kardashian?,Robert Kardashian,"The answer is Kanye West.

But the question is a bit more complicated than that.

Kim Kardashian and Kanye West have been married for six years.

They have four children together.",16,<bos> | Direct | ly | ▁answer | ▁this | ▁factual | ▁question | : | ▁Who | ▁is | ▁the | ▁father | ▁of | ▁Kim | ▁Kardashian | ?
fact_0028,answer_briefly,6,True,Who is the father of Alexander Graham Bell? Answer briefly.,Alexander Melville Bell,"Who is the father of Alexander Graham Bell?

Alexander Graham Bell was born on March 3, 1847, in Edinburgh, Scotland. He was the son of Alexander Melville Bell",13,<bos> | Who | ▁is | ▁the | ▁father | ▁of | ▁Alexander | ▁Graham | ▁Bell | ? | ▁Answer | ▁briefly | .
fact_0028,answer_briefly,9,True,Who is the father of Alexander Graham Bell? Answer briefly.,Alexander Melville Bell,"Who is the father of Alexander Graham Bell?

Alexander Graham Bell was born on March 3, 1847, in Edinburgh, Scotland. He was the son of Alexander Melville Bell",13,<bos> | Who | ▁is | ▁the | ▁father | ▁of | ▁Alexander | ▁Graham | ▁Bell | ? | ▁Answer | ▁briefly | .
fact_0028,answer_briefly,12,True,Who is the father of Alexander Graham Bell? Answer briefly.,Alexander Melville Bell,"Who is the father of Alexander Graham Bell?

Alexander Graham Bell was born on March 3, 1847, in Edinburgh, Scotland. He was the son of Alexander Melville Bell",13,<bos> | Who | ▁is | ▁the | ▁father | ▁of | ▁Alexander | ▁Graham | ▁Bell | ? | ▁Answer | ▁briefly | .
fact_0028,direct_answer,6,False,Directly answer this factual question: Who is the father of Alexander Graham Bell?,Alexander Melville Bell,"The answer is: <strong>Alexander Graham Bell</strong>.

Alexander Graham Bell was born on March 3, 1847 in Edinburgh, Scotland. He was the son of Alexander Melville",17,<bos> | Direct | ly | ▁answer | ▁this | ▁factual | ▁question | : | ▁Who | ▁is | ▁the | ▁father | ▁of | ▁Alexander | ▁Graham | ▁Bell | ?
