fact_id,variant_id,question,original_question,correct_answer,possible_answers,type,generated_answer,full_output,is_correct,old_is_correct,strict_matched_answer,strict_answer_segment
fact_0001,original,"Question: Who was the composer of Samson?
Answer:",Who was the composer of Samson?,George Frideric Handel,"[""George Frideric Handel"", ""Handel"", ""G. F. Handel"", ""Georg Friedrich Händel"", ""George Frederick Handel"", ""G. F. Händel"", ""Händel"", ""George Frideric""]",composer,"George Frideric Handel

Question: What is the name of the opera that was written by George Frideric Handel?
Answer: Samson","Question: Who was the composer of Samson?
Answer: George Frideric Handel

Question: What is the name of the opera that was written by George Frideric Handel?
Answer: Samson",True,True,George Frideric Handel,George Frideric Handel
fact_0001,leading_space,"Question:  Who was the composer of Samson?
Answer:",Who was the composer of Samson?,George Frideric Handel,"[""George Frideric Handel"", ""Handel"", ""G. F. Handel"", ""Georg Friedrich Händel"", ""George Frederick Handel"", ""G. F. Händel"", ""Händel"", ""George Frideric""]",composer,"Joseph Haydn

Question:  What is the name of the opera that was written by Mozart?
Answer:  The Magic Flute

Question:","Question:  Who was the composer of Samson?
Answer:  Joseph Haydn

Question:  What is the name of the opera that was written by Mozart?
Answer:  The Magic Flute

Question:",False,False,,Joseph Haydn
fact_0001,trailing_space,"Question: Who was the composer of Samson? 
Answer:",Who was the composer of Samson?,George Frideric Handel,"[""George Frideric Handel"", ""Handel"", ""G. F. Handel"", ""Georg Friedrich Händel"", ""George Frederick Handel"", ""G. F. Händel"", ""Händel"", ""George Frideric""]",composer,"George Frideric Handel

Question: What is the name of the opera that was written by George Frideric Handel? 
Answer: Samson","Question: Who was the composer of Samson? 
Answer: George Frideric Handel

Question: What is the name of the opera that was written by George Frideric Handel? 
Answer: Samson",True,True,George Frideric Handel,George Frideric Handel
fact_0001,space_before_qmark,"Question: Who was the composer of Samson ?
Answer:",Who was the composer of Samson?,George Frideric Handel,"[""George Frideric Handel"", ""Handel"", ""G. F. Handel"", ""Georg Friedrich Händel"", ""George Frederick Handel"", ""G. F. Händel"", ""Händel"", ""George Frideric""]",composer,"George Frideric Handel

Question: What is the name of the opera that was written by George Frideric Handel ?
Answer: Samson","Question: Who was the composer of Samson ?
Answer: George Frideric Handel

Question: What is the name of the opera that was written by George Frideric Handel ?
Answer: Samson",True,True,George Frideric Handel,George Frideric Handel
fact_0001,no_qmark,"Question: Who was the composer of Samson
Answer:",Who was the composer of Samson?,George Frideric Handel,"[""George Frideric Handel"", ""Handel"", ""G. F. Handel"", ""Georg Friedrich Händel"", ""George Frederick Handel"", ""G. F. Händel"", ""Händel"", ""George Frideric""]",composer,"Delibes

Question: What is the name of the opera that
Answer: Samson and Delilah

Question: What is the name of the opera","Question: Who was the composer of Samson
Answer: Delibes

Question: What is the name of the opera that
Answer: Samson and Delilah

Question: What is the name of the opera",False,False,,Delibes
fact_0001,lower_first_char,"Question: who was the composer of Samson?
Answer:",Who was the composer of Samson?,George Frideric Handel,"[""George Frideric Handel"", ""Handel"", ""G. F. Handel"", ""Georg Friedrich Händel"", ""George Frederick Handel"", ""G. F. Händel"", ""Händel"", ""George Frideric""]",composer,"George Frideric Handel

Question: what is the name of the opera that was written by Handel?
Answer: Samson

Question: what is","Question: who was the composer of Samson?
Answer: George Frideric Handel

Question: what is the name of the opera that was written by Handel?
Answer: Samson

Question: what is",True,True,George Frideric Handel,George Frideric Handel
fact_0001,double_first_space,"Question: Who  was the composer of Samson?
Answer:",Who was the composer of Samson?,George Frideric Handel,"[""George Frideric Handel"", ""Handel"", ""G. F. Handel"", ""Georg Friedrich Händel"", ""George Frederick Handel"", ""G. F. Händel"", ""Händel"", ""George Frideric""]",composer,"Joseph Haydn

Question: Who was the composer of the 1812 Overture?
Answer:  Tchaikovsky

Question: Who was","Question: Who  was the composer of Samson?
Answer:  Joseph Haydn

Question: Who was the composer of the 1812 Overture?
Answer:  Tchaikovsky

Question: Who was",False,False,,Joseph Haydn
fact_0002,original,"Question: Who was the producer of Reds?
Answer:",Who was the producer of Reds?,Warren Beatty,"[""Warren Beatty"", ""Henry Warren Beaty"", ""Henry Warren Beatty""]",producer,"Dalton Trumbo

Question: What was the name of the film that won the Oscar for Best Picture in 1956?
Answer:","Question: Who was the producer of Reds?
Answer: Dalton Trumbo

Question: What was the name of the film that won the Oscar for Best Picture in 1956?
Answer:",False,False,,Dalton Trumbo
fact_0002,leading_space,"Question:  Who was the producer of Reds?
Answer:",Who was the producer of Reds?,Warren Beatty,"[""Warren Beatty"", ""Henry Warren Beaty"", ""Henry Warren Beatty""]",producer,"Warren Beatty

Question:  Who was the director of Reds?
Answer:  Warren Beatty

Question:  Who was the writer of Reds","Question:  Who was the producer of Reds?
Answer:  Warren Beatty

Question:  Who was the director of Reds?
Answer:  Warren Beatty

Question:  Who was the writer of Reds",True,True,Warren Beatty,Warren Beatty
fact_0002,trailing_space,"Question: Who was the producer of Reds? 
Answer:",Who was the producer of Reds?,Warren Beatty,"[""Warren Beatty"", ""Henry Warren Beaty"", ""Henry Warren Beatty""]",producer,"Dalton Trumbo

Question: What was the name of the film that won the Oscar for Best Picture in 1956? 
Answer","Question: Who was the producer of Reds? 
Answer: Dalton Trumbo

Question: What was the name of the film that won the Oscar for Best Picture in 1956? 
Answer",False,False,,Dalton Trumbo
